time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{local}.l.angle,{local}.l.distance,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{networked}.n.steer_angle_s,{networked}.n.theta_s,{networked}.n.velocity_s,{networked}.n.x_s,{networked}.n.y_s
6.30999999999991,0.01,0.28537011841425913,0.213831685455109,2.242517213450538,-0.026248457666780342,0.7912159275707626,4.811540489196777,0.2193895064424556,0.7013908764778082,1.7697713830756947,9.409305434410642,0.30554577072349587,0.2202646049103392,0.6418184593503733,1.7361522509145255,9.297759455781566,0.3065196467939318
6.31999999999991,0.01,0.2853685071296807,0.21073267552097688,2.2453855616251626,-0.03895573914665429,0.797033691744077,4.803359015782674,0.2191270218657878,0.7124497918731795,1.7726250842598372,9.422354377452507,0.31750127825456836,0.2202646049103392,0.6854027847450886,1.7481873683909124,9.350978458065144,0.3514248333161156
6.3299999999999095,0.01,0.28136547386324645,0.21228218048804287,2.2415675406985813,-0.030801786199852216,0.7912159275707626,4.797820600668589,0.21873746447432127,0.7235167869425464,1.775478769331134,9.435294708683504,0.32961605421480755,0.22011144864786017,0.6963603878925683,1.7511420711955774,9.364047896994636,0.3630617340376529
6.339999999999909,0.01,0.2781025065885246,0.21073267552097688,2.238982946978675,-0.03602155029004975,0.7853981633974483,4.80408373037974,0.21842944661232275,0.7345901435518648,1.7782924240697664,9.448124429037412,0.3418892266520831,0.21901116471632912,0.7073032159450959,1.7540886104769522,9.37697828904178,0.37482494552040313
6.349999999999909,0.01,0.2781679900644674,0.2091831705539109,2.2419057408438787,-0.041608242262853354,0.7795803992241339,4.794320446650187,0.21806923110942225,0.7456672176334627,1.7810734491356517,9.460841368237002,0.354319506292716,0.21901116471632912,0.7073032159450959,1.7540886104769522,9.37697828904178,0.37482494552040313
6.359999999999909,0.01,0.27376565558066146,0.20763366558684493,2.2373495417700875,-0.04696004485159795,0.7679448708775052,4.795337641239167,0.21765314868679372,0.7567471464946529,1.7838551290362963,9.473443339477459,0.36690571239210534,0.21901116471632912,0.7073032159450959,1.7540886104769522,9.37697828904178,0.37482494552040313
6.369999999999909,0.01,0.2723814621251889,0.20453465565271295,2.237824232578278,-0.05903321865336349,0.7679448708775052,4.793907470703125,0.21718354823827773,0.767828140544656,1.7865927855921029,9.485928449837187,0.37964682425270563,0.21901116471632912,0.7073032159450959,1.7540886104769522,9.37697828904178,0.37482494552040313
6.379999999999908,0.01,0.2703384204416133,0.20453465565271295,2.2371568196614584,-0.05692001663504154,0.756309342530876,4.788971172968546,0.2165932160517441,0.7789085849277765,1.7893166002133547,9.498294554460086,0.39254142911708617,0.21901116471632912,0.7073032159450959,1.7540886104769522,9.37697828904178,0.37482494552040313
6.389999999999908,0.01,0.26732196830318017,0.20143564571858083,2.2348532140519883,-0.06820906649923465,0.756309342530876,4.777248253822327,0.21602401588539366,0.7899861358865928,1.7920199844177709,9.510539775653744,0.40558826580259355,0.21718631603877683,0.7512788533707855,1.7655306925372865,9.42772299734066,0.42353241600193053
6.399999999999908,0.01,0.262417520419589,0.20143564571858083,2.2293825184504192,-0.06564766575065774,0.7504915783575616,4.78785476843516,0.21534192522040133,0.801057399250159,1.7946932041008026,9.522662309102204,0.4187859074573074,0.21718631603877683,0.7512788533707855,1.7655306925372865,9.42772299734066,0.42353241600193053
6.409999999999908,0.01,0.26378341270136324,0.19988614075151484,2.2343322252697413,-0.06955103010998918,0.7446738141842473,4.775424836476644,0.21468544856289476,0.8121203047400297,1.7973173793049986,9.534660268517527,0.4321328673940425,0.21718631603877683,0.7512788533707855,1.7655306925372865,9.42772299734066,0.42353241600193053
6.419999999999908,0.01,0.25872852663046114,0.19833663578444885,2.228531590355767,-0.07356965750300659,0.7446738141842473,4.775424836476644,0.21398993826179485,0.8231718625572927,1.7999552134320123,9.546531761657889,0.44562740802399775,0.21718631603877683,0.7512788533707855,1.7655306925372865,9.42772299734066,0.42353241600193053
6.429999999999907,0.01,0.25714582615425297,0.19833663578444885,2.228531590355767,-0.07043986114805702,0.7388560500109329,4.771704267660777,0.2132542416867648,0.8342095252238877,1.802542498698317,9.55827529206966,0.4592682793489504,0.21406599570624832,0.7953498094446257,1.776482432139286,9.476645979222376,0.4746931184551495
6.439999999999907,0.01,0.2545516957260273,0.19678713081738286,2.2267953249083625,-0.0741019989122187,0.7272205216643042,4.77308606783549,0.2125498430752842,0.8452315994750222,1.8051139569598595,9.569888998030098,0.473053698451242,0.21406599570624832,0.7953498094446257,1.776482432139286,9.476645979222376,0.4746931184551495
6.449999999999907,0.01,0.25339572481802164,0.19368812088325088,2.2274401649898956,-0.08487774986414999,0.7272205216643042,4.769128800233205,0.21180882308616203,0.8562358060162345,1.80765947391712,9.581371298601944,0.48698210156642097,0.21406599570624832,0.7953498094446257,1.776482432139286,9.476645979222376,0.4746931184551495
6.459999999999907,0.01,0.2507603797150256,0.19368812088325088,2.2255934401088293,-0.08154315991310017,0.7214027574909894,4.769413751761118,0.21096004558752052,0.8672210281890397,1.8101934311653,9.592720535881371,0.501051859579247,0.21406599570624832,0.8393388379533863,1.7870266098595702,9.52361113488156,0.5282100578136197
6.4699999999999065,0.01,0.24931979179393304,0.19213861591618478,2.225726417488522,-0.08469643352101082,0.7097672291443606,4.758013885815938,0.21014461398838952,0.8781857173564709,1.8127010349624504,9.603935202687824,0.5152614082787539,0.21406599570624832,0.8393388379533863,1.7870266098595702,9.52361113488156,0.5282100578136197
6.479999999999906,0.01,0.2446232670509925,0.1890396059820528,2.220406480047438,-0.09497253602851523,0.7097672291443606,4.758013885815938,0.2092976496531794,0.8891273155218266,1.8151942328803896,9.615013830022885,0.5296089697644635,0.2109320598151787,0.8503092075289199,1.789664563204081,9.535037325345604,0.5419511796293013
6.489999999999906,0.01,0.24312734830022897,0.1890396059820528,2.220406480047438,-0.09116119652006971,0.7039494649710463,4.7640223836898805,0.20834792429289425,0.9000442724628233,1.8176404655508995,9.62595500475413,0.5440928817294186,0.2109320598151787,0.8503092075289199,1.789664563204081,9.535037325345604,0.5419511796293013
6.499999999999906,0.01,0.24334198810262675,0.1874901010149868,2.223210445721944,-0.0938602047505835,0.6981317007977319,4.751795032024384,0.20743631232769355,0.9109353174147746,1.8200717390339018,9.636757176133864,0.5587111846296766,0.2109320598151787,0.8831182001878285,1.7972777022961175,9.568525441477057,0.584009433207399
6.509999999999906,0.01,0.2384595655464864,0.18594059604792082,2.217504348278046,-0.09673072325897729,0.6923139366244175,4.742940006256103,0.2064977102801877,0.9217975952371026,1.8225051589149281,9.647419113427096,0.5734620899130201,0.2109320598151787,0.8940200257814296,1.7997864357258817,9.579425762324137,0.5983096368063642
6.519999999999905,0.01,0.2345201064027521,0.18439109108085483,2.213372002919515,-0.09947978639699795,0.6806784082777884,4.752539579073588,0.20553040304759793,0.9326293742543068,1.824889754570393,9.657939662954364,0.5883439763213848,0.21011625920879287,0.9048882142604028,1.8022785633869172,9.590180272455934,0.6127313235971308
6.529999999999905,0.01,0.23577722939836868,0.18129208114672274,2.217851803567674,-0.10907244855393834,0.674860644104474,4.737150528430939,0.20453560518362796,0.943429539473678,1.8272349556344205,9.66831743359717,0.6033547770368335,0.21011625920879287,0.9048882142604028,1.8022785633869172,9.590180272455934,0.6127313235971308
6.539999999999905,0.01,0.23006117458001055,0.17974257617965675,2.210670246601105,-0.11156863051787043,0.6632251157578453,4.745899839401245,0.20344488069808858,0.9541966592475983,1.829592727928404,9.678551148790742,0.61849247275468,0.2055494480098692,0.9157534334442416,1.8047758031046937,9.60081911556886,0.6273151941915792
