time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{rabbitmq_lidar}.r_lidar.angle,{rabbitmq_lidar}.r_lidar.distance,{rabbitmq_odom}.r_odom.steer_angle_s,{rabbitmq_odom}.r_odom.theta_s,{rabbitmq_odom}.r_odom.velocity_s,{rabbitmq_odom}.r_odom.x_s,{rabbitmq_odom}.r_odom.y_s
0.4200000000000002,0.01,2.4446310146180243,-0.003909781741869547,-0.010287065294958951,1.1411394569561604,-0.040724349213201005,11.123422565460205,-0.018455740533233234,-0.006357701423863469,0.8935194577335537,-4.42809126078299,0.07789630909144296
0.4300000000000002,0.01,2.429874644155161,-0.0036365515842700933,-0.010326163112377646,1.1655857671023406,-0.040724349213201005,11.123422565460205,-0.018455740533233234,-0.007194105216407937,0.9528983683429928,-4.40992097784836,0.0776489680637246
0.4400000000000002,0.01,2.415206858067453,-0.0033824157710485737,-0.010362528628220347,1.1898845135438922,-0.040724349213201005,11.122050952911376,-0.018455740533233234,-0.007194105216407937,0.9528983683429928,-4.40992097784836,0.0776489680637246
0.45000000000000023,0.01,2.40024355868885,-0.0031460399180710226,-0.010396352785930832,1.2140365821245667,-0.040724349213201005,11.122050952911376,-0.018455740533233234,-0.008124588986760713,1.012285770954712,-4.390560327753033,0.07736517139287173
0.46000000000000024,0.01,2.3857523175404456,-0.002926182892952868,-0.010427813185111542,1.238039017711455,-0.040724349213201005,11.122050952911376,-0.01924998547853457,-0.00862526456366589,1.0419469195851647,-4.380445689508843,0.07720866708084337
0.47000000000000025,0.01,2.3713508561883123,-0.0027216902982782542,-0.01045707501404107,1.2618965408868594,-0.040724349213201005,11.116295280456542,-0.01924998547853457,-0.00862526456366589,1.0419469195851647,-4.380445689508843,0.07720866708084337
0.48000000000000026,0.01,2.3554247539957163,-0.00253148841023632,-0.010484291917023852,1.2856100494487426,-0.040724349213201005,11.116295280456542,-0.02072978350712068,-0.00970576656934219,1.1013660231294793,-4.359226430003346,0.0768620171192569
0.49000000000000027,0.01,2.3411966488585865,-0.0023545785408482347,-0.010509606801126215,1.3091642969886998,-0.03490658503988664,11.114086465835571,-0.02072978350712068,-0.00970576656934219,1.1013660231294793,-4.359226430003346,0.0768620171192569
0.5000000000000002,0.01,2.32644563224074,0.007881750491746047,-0.010533152586534698,1.3325762634772857,-0.03490658503988664,11.114086465835571,-0.02072978350712068,-0.01087945134786106,1.1599747040212025,-4.336988985864481,0.07647192763274316
0.5100000000000002,0.01,2.3123984523475882,0.008034798096901184,-0.010454335081617238,1.3558407197996931,-0.03490658503988664,11.114086465835571,-0.02072978350712068,-0.01087945134786106,1.1599747040212025,-4.336988985864481,0.07647192763274316
0.5200000000000002,0.01,2.298439778554144,0.0075224843149376925,-0.010373987100648225,1.378964704323169,-0.03490658503988664,11.1093155002594,-0.02239978450485308,-0.012224281328898868,1.2215059614937545,-4.312330047194431,0.07600774992569134
0.5300000000000002,0.01,2.283229517478731,0.007000222438639112,-0.010298762257498848,1.4019491021087105,-0.03490658503988664,11.1093155002594,-0.02239978450485308,-0.012224281328898868,1.2215059614937545,-4.312330047194431,0.07600774992569134
0.5400000000000003,0.01,2.269438878807406,0.006511260958168161,-0.010228760033112457,1.4247813972834977,-0.03490658503988664,11.114624881744383,-0.02239978450485308,-0.013543859469011144,1.2770876641114557,-4.288841404653306,0.07553347116276782
0.5500000000000003,0.01,2.257226128518328,0.006056246499656619,-0.010163647423530776,1.4474757860715717,-0.03490658503988664,11.114624881744383,-0.02239978450485308,-0.014275438189682197,1.3062357000352094,-4.276071274409061,0.07526292344934316
0.5600000000000003,0.01,2.243609495245484,0.005633014537375692,-0.01010308495853421,1.470048047356755,-0.03490658503988664,11.114624881744383,-0.02239978450485308,-0.014275438189682197,1.3062357000352094,-4.276071274409061,0.07526292344934316
0.5700000000000003,0.01,2.230066138474374,0.005239358514898015,-0.010046754813160454,1.49248414230921,-0.03490658503988664,11.111676874160766,-0.02365528891343066,-0.015817631685858497,1.364530382226654,-4.249657890580312,0.07467441817800959
0.5800000000000003,0.01,2.2157790393794885,0.004873212569968597,-0.009994361228011473,1.5147848036939537,-0.03490658503988664,11.111676874160766,-0.02365528891343066,-0.015817631685858497,1.364530382226654,-4.249657890580312,0.07467441817800959
0.5900000000000003,0.01,2.202398642548642,0.004532654266500221,-0.009945629102311787,1.5369425940877486,-0.03490658503988664,11.111676874160766,-0.02365528891343066,-0.01746442371616785,1.422588760818449,-4.222108598806774,0.07401886200802378
0.6000000000000003,0.01,2.189103968312365,0.004215895449452262,-0.009900302559646785,1.5589665805132351,-0.03490658503988664,11.110520868301393,-0.02398030379776811,-0.018409816825946817,1.4542625187403573,-4.206558360557268,0.07363048369126579
0.6100000000000003,0.01,2.175565894816449,0.003921272922129752,-0.009858143605152263,1.5808576201963587,-0.03490658503988664,11.110520868301393,-0.02398030379776811,-0.01922158691878341,1.480561088970795,-4.1933599025869,0.07328907633899163
0.6200000000000003,0.01,2.1624312710065747,0.0036472397179153583,-0.009818930875930965,1.6026132791445231,-0.03490658503988664,11.110520868301393,-0.02536200324233645,-0.020349171724406468,1.5161148166281109,-4.175194247281099,0.07280538946595531
0.6300000000000003,0.01,2.149377875637676,0.00339235697797692,-0.009782458478751812,1.6242375918545888,-0.03490658503988664,11.102381772994995,-0.02536200324233645,-0.021085127642584738,1.5383790658670122,-4.163478070337457,0.07248114471746636
0.6400000000000003,0.01,2.1341243413258453,0.003155286396312423,-0.009748534908972043,1.6457313706109655,-0.03490658503988664,11.102381772994995,-0.02536200324233645,-0.021085127642584738,1.5383790658670122,-4.163478070337457,0.07248114471746636
