time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{kf}.kf.steer_angle_p,{kf}.kf.theta_p,{kf}.kf.velocity_p,{kf}.kf.x_p,{kf}.kf.y_p,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
16.579999999999792,0.01,1.4141732622956433,-0.33382232967972847,0.13265843189817494,-0.13195401200184187,3.772006207252285,-11.534110232216781,-0.7225014064486082,0.12499560447176924,6.053234713949075,3.890905133603672,-13.201544633252395,0.9619187532501697,0.14366857916135511,-0.09512390161872757,3.7621064612177215,-11.565111036168926,-0.7190235797582178,0.18616845354606193,13.292461109161376
16.589999999999794,0.01,1.3873460304029823,-0.3393515048654565,0.12967446289773335,-0.12351587390499476,3.7806097028790924,-11.512295688897387,-0.7272705083269213,0.12165738117497196,6.064284382757453,3.9050468662266287,-13.16484513957176,0.9489935283215493,0.13018479090966462,-0.05721316303847182,3.8065865409457538,-11.453922611396024,-0.7405701961332202,0.17453292519943298,13.29649751663208
16.599999999999795,0.01,1.3799911849210051,-0.3382750447334629,0.12637733111190338,-0.10853547291567309,3.7972291360320325,-11.470343987174083,-0.7351652585946408,0.1182638661263174,6.075079045572344,3.9189203265306585,-13.127865096922152,0.9364469930079337,0.1268083148436271,-0.045052004712085286,3.821036115320036,-11.416371676941704,-0.7468705772486689,0.16289739685280402,13.380058469772338
16.609999999999797,0.01,1.39506417561786,-0.3369497717181116,0.12308873662291529,-0.09416832315155246,3.813296150411438,-11.429187745049436,-0.7423633898071333,0.11488111567898276,6.0856214331773035,3.9327202383798685,-13.090613193040049,0.9242777978937097,0.1268083148436271,-0.045052004712085286,3.821036115320036,-11.416371676941704,-0.7468705772486689,0.1512618685061753,13.32411759376526
16.6199999999998,0.01,1.371120783226352,-0.33567293940869963,0.119894266399931,-0.08297758640151438,3.8257927145070325,-11.39707112159314,-0.7478034302759642,0.11151161796180165,6.09590815804002,3.9466708801360473,-13.053096193637417,0.912483578836938,0.1268083148436271,-0.045052004712085286,3.821036115320036,-11.416371676941704,-0.7468705772486689,0.13962634015954634,13.305058889389038
16.6299999999998,0.01,1.3574139609473024,-0.3344557443849787,0.1167911187639559,-0.07425408497587552,3.835233926380941,-11.372005807602513,-0.7519057665528065,0.10815488856771464,6.105930986936706,3.960382087968311,-13.015318604659864,0.9010610189375816,0.1268083148436271,-0.045052004712085286,3.821036115320036,-11.416371676941704,-0.7468705772486689,0.1279908118129176,13.288722677230837
16.6399999999998,0.01,1.3446130968436478,-0.33329600681518107,0.11377645551475798,-0.06744912131761163,3.8423982627773454,-11.35244415065085,-0.7549905984054517,0.10481033112386486,6.115692325184765,3.973956227577784,-12.977288543590014,0.8900076446431228,0.11333345683384788,-0.009996149100296914,3.864440633624478,-11.30228986686664,-0.7631517289965194,0.12217304763960302,13.286627435684204
16.649999999999803,0.01,1.335881945444907,-0.32521827066965425,0.1105148464509696,-0.05437723072795008,3.857783546662599,-11.311654839561438,-0.7604529959934059,0.10147737105571304,6.125191818096123,3.9874023585462206,-12.939013028451713,0.8793203741418107,0.11333345683384788,-0.009996149100296914,3.864440633624478,-11.30228986686664,-0.7631517289965194,0.11053751929297428,13.308848876953125
16.659999999999805,0.01,1.3340362704191424,-0.324165495066565,0.10741254774605286,-0.04419600858982263,3.8695655553490704,-11.279829492970993,-0.7645477179215778,0.0982251883490165,6.134428977154602,4.00076117800067,-12.90049886250802,0.8689958025499411,0.11333345683384788,-0.009996149100296914,3.864440633624478,-11.30228986686664,-0.7631517289965194,0.09890199094634532,13.253917417526246
16.669999999999806,0.01,1.3106401701069468,-0.32347621759002476,0.10439710948946364,-0.036260744011221424,3.8786238142600564,-11.25499909389437,-0.7676082864398276,0.09498353339835085,6.143402486989405,4.0141015407048615,-12.861752321653427,0.8590301328713315,0.11333345683384788,-0.009996149100296914,3.864440633624478,-11.30228986686664,-0.7631517289965194,0.0872664625997166,13.234563283920288
16.679999999999808,0.01,1.297216795074764,-0.3228343150156232,0.10146284714678594,-0.03007193915668469,3.885415514495407,-11.235625242566105,-0.7698877255591986,0.09174877122245059,6.1521107045739,4.027207942405931,-12.82277885351167,0.8494192068539076,0.11333345683384788,-0.009996149100296914,3.864440633624478,-11.30228986686664,-0.7631517289965194,0.07563093425308764,13.287377910614014
16.68999999999981,0.01,1.3041410495283656,-0.3222234299276663,0.09860728932738665,-0.025242723925940097,3.8905373053454935,-11.220509352572858,-0.7715779721147449,0.08852042807229436,6.160557019501184,4.040180110356679,-12.783585858975764,0.8401591009988902,0.09685062366447804,0.04329236888938112,3.933789397680878,-11.10855136886133,-0.7816093175769351,0.06399540590645869,13.203559579849244
16.69999999999981,0.01,1.2728886161437813,-0.3216414304555574,0.09542123824594094,-0.009657621075925866,3.9104949928732653,-11.165425670700994,-0.7761649209136251,0.0852981937730177,6.168742096092592,4.053221520851962,-12.744179628035608,0.8312453758795408,0.09685062366447804,0.0812356309064579,3.987379230622944,-10.95074648626637,-0.7888619662333991,0.058177641733144325,13.264809122085572
16.709999999999813,0.01,1.2822136416727825,-0.31411414846060937,0.09231952612039421,0.010953667474532247,3.93797798676441,-11.08719918393785,-0.780408818029029,0.08208177946846212,6.176662181631584,4.0659504070134,-12.704564314286849,0.822672897457458,0.09685062366447804,0.0812356309064579,3.987379230622944,-10.95074648626637,-0.7888619662333991,0.04654211338651559,13.218538637161254
16.719999999999814,0.01,1.2616205741971114,-0.31358582879370317,0.08936780770633489,0.026955701397890747,3.95920262133076,-11.026209659846012,-0.7834891969032264,0.07894063798385603,6.184322003804492,4.078772543430127,-12.664747651700306,0.8144370822762659,0.09685062366447804,0.0812356309064579,3.987379230622944,-10.95074648626637,-0.7888619662333991,0.03490658503988664,13.187288541793825
16.729999999999816,0.01,1.2451772656441944,-0.3133962368165699,0.08649411943713345,0.039393080052241944,3.975375300431676,-10.9786619124226,-0.7857125225265418,0.075804779695919,6.19171723388196,4.091388749172099,-12.624733246012951,0.8065322809763122,0.08396451123185311,0.09007832552431316,4.000719300297996,-10.910881944808816,-0.7896736326954896,0.029088820866572274,13.17889582633972
16.739999999999817,0.01,1.2352575818718619,-0.3062576468726502,0.08337507732837311,0.05104446092274913,3.9907677774990975,-10.932695196649226,-0.7873117082720362,0.07267081732775331,6.198851127448669,4.103840521828541,-12.584527464365781,0.7989532763038463,0.08396451123185311,0.11503643905813352,4.038887450714592,-10.790540871620124,-0.789782789896725,0.01745329251994332,13.171568870544434
16.74999999999982,0.01,1.2257349706553164,-0.30610036091949877,0.08040266622118565,0.0656914986408332,4.011360263033584,-10.87001289018695,-0.7879227062018803,0.06960824085902681,6.205725560005042,4.11619309764726,-12.544136113023876,0.7916945271254437,0.08396451123185311,0.11503643905813352,4.038887450714592,-10.790540871620124,-0.789782789896725,0.011635528346628954,13.151791877746582
16.75999999999982,0.01,1.2127858671806868,-0.2992915391620265,0.07750517709640532,0.07707280082491025,4.027121155071023,-10.821155909354738,-0.7882432237126856,0.06654723724983182,6.21234076041095,4.1284504473538135,-12.503564199336031,0.7847501494414522,0.08074112596574234,0.13040335239893316,4.064252022015532,-10.709595115979806,-0.7879743415302087,0.0,13.132718267440795
16.769999999999822,0.01,1.2000908464711346,-0.29946256762424317,0.07466604876827783,0.08936378242425372,4.045008653247157,-10.76502650317256,-0.7876279717656177,0.06355432185821155,6.218697711307905,4.1405783060256205,-12.462816519015611,0.7781141221562127,0.08074112596574234,0.13040335239893316,4.064252022015532,-10.709595115979806,-0.7879743415302087,-0.005817764173314366,13.137042436599732
16.779999999999824,0.01,1.1940248986325526,-0.2929672207137489,0.07189535013720194,0.09891917453488665,4.058658828752391,-10.721279803835603,-0.7870164235684867,0.06055969618196912,6.224797781930285,4.1525792144903315,-12.421898049334454,0.7717802678963473,0.08074112596574234,0.13040335239893316,4.064252022015532,-10.709595115979806,-0.7879743415302087,-0.01745329251994332,13.18216724395752
16.789999999999825,0.01,1.199459299613907,-0.2934369498742522,0.06925640745380168,0.10635788719691563,4.069100560413242,-10.687183900463896,-0.7864297092409459,0.057630023974831635,6.230642900696624,4.164519463476657,-12.380813573827535,0.7657422810146896,0.06555125361500369,0.15148741152556752,4.100758774039898,-10.5874442097461,-0.7825688585979073,-0.02327105669325769,13.116875038146972
16.799999999999827,0.01,1.1740133325951576,-0.2872261972939304,0.06630300828317885,0.11686016064623149,4.085635160280624,-10.63339712314868,-0.7842350473977955,0.054695654476089116,6.236233425459325,4.176514056472796,-12.339567064826849,0.759993565382143,0.06555125361500369,0.15148741152556752,4.100758774039898,-10.5874442097461,-0.7825688585979073,-0.02908882086657205,13.142243089675905
16.809999999999828,0.01,1.1739196312255753,-0.28099430690138605,0.0634831001846343,0.12502534211637387,4.098139541678471,-10.591478008796905,-0.7824075846930448,0.05182339250314981,6.241568551643115,4.188254189798748,-12.298161188026798,0.7545272747924846,0.06555125361500369,0.15148741152556752,4.100758774039898,-10.5874442097461,-0.7825688585979073,-0.040724349213201005,13.083639755249024
16.81999999999983,0.01,1.1504666175904783,-0.28201467272675335,0.06079359342558727,0.13138109371873727,4.107740987165257,-10.558809636391505,-0.780886134016271,0.04901344943413595,6.24665255469891,4.199993386111004,-12.256601520181707,0.7493367714987406,0.06555125361500369,0.15148741152556752,4.100758774039898,-10.5874442097461,-0.7825688585979073,-0.04654211338651537,13.097466592788695
16.82999999999983,0.01,1.1472946143142322,-0.27634270126798793,0.05816053961372758,0.13633371671734765,4.114929398409292,-10.533349674836048,-0.779618685964361,0.04619330270686842,6.251485724967833,4.211498052286909,-12.214890961727608,0.7444150078123298,0.053890234333079934,0.1702694949981287,4.13686002293708,-10.464431744847817,-0.7740950055565119,-0.05235987755982996,13.134461145401
16.839999999999833,0.01,1.1507502893401347,-0.2706248133470812,0.055359907332551465,0.14438229970617017,4.12880510146243,-10.486119830352726,-0.7762997697878027,0.04342987569418854,6.256072729013187,4.222970998430051,-12.173034576997816,0.7397551106253379,0.053890234333079934,0.1702694949981287,4.13686002293708,-10.464431744847817,-0.7740950055565119,-0.058177641733144325,13.075858907699583
16.849999999999834,0.01,1.127457895097853,-0.26516216414181876,0.05268418977759284,0.15064087115506203,4.139484633496152,-10.44931397982578,-0.7736159530217579,0.04072362756071773,6.260414200774222,4.234478501323452,-12.13103527020617,0.7353498144514897,0.053890234333079934,0.1702694949981287,4.13686002293708,-10.464431744847817,-0.7740950055565119,-0.06981317007977306,13.063717088699342
16.859999999999836,0.01,1.1171536840417442,-0.26692959224479396,0.05012781216141396,0.15551240088564405,4.147500302637372,-10.420631047091009,-0.7714441955713622,0.03807200591929954,6.264510445914417,4.245753080274431,-12.08889513394783,0.7311917218664583,0.053890234333079934,0.1702694949981287,4.13686002293708,-10.464431744847817,-0.7740950055565119,-0.07563093425308764,13.043762474060058
16.869999999999838,0.01,1.1048016445721578,-0.2619700672102094,0.04761731295418246,0.15930774604038703,4.153568816048257,-10.398279910355962,-0.7696850928812222,0.0354027099968516,6.268366254822054,4.256924617114849,-12.046618776943204,0.7272736151446709,0.042844697987403424,0.1868013893464988,4.1721043623989065,-10.340410963792506,-0.7627237197062195,-0.08144869842640201,13.076968507766724
16.87999999999984,0.01,1.1073964119057733,-0.2569310079109906,0.044944456333130815,0.16595507162586057,4.166325845589284,-10.353260494859375,-0.7653914478175823,0.03278300932474951,6.27198454274717,4.2679726335605706,-12.00420937268067,0.7235880826625372,0.042844697987403424,0.1868013893464988,4.1721043623989065,-10.340410963792506,-0.7627237197062195,-0.08726646259971638,13.075400619506835
16.88999999999984,0.01,1.1003285933255713,-0.2521151272383281,0.04238673967802818,0.17112161271166276,4.176134095617342,-10.318179203483478,-0.7619617854507178,0.030213699245639603,6.275367723519396,4.279046597679629,-11.961670167563488,0.7201275815311287,0.042844697987403424,0.1868013893464988,4.1721043623989065,-10.340410963792506,-0.7627237197062195,-0.09308422677303096,13.03622360229492
16.899999999999842,0.01,1.0827146500348002,-0.24752600423413076,0.039939140448955975,0.17514107558416178,4.183602823356659,-10.290842747013608,-0.759220738157832,0.02769254797325632,6.278516535584953,4.290049883612884,-11.919002782168496,0.7168844037582285,0.042844697987403424,0.1868013893464988,4.1721043623989065,-10.340410963792506,-0.7627237197062195,-0.09890199094634532,13.028157567977903
16.909999999999844,0.01,1.0738541888660826,-0.2431535958602029,0.037596731035891284,0.17827091426567981,4.189192635307027,-10.269541640082206,-0.7570281449341525,0.025217287930915013,6.281433465136109,4.300877030113232,-11.87620966979655,0.7138508688712184,0.042844697987403424,0.1868013893464988,4.1721043623989065,-10.340410963792506,-0.7627237197062195,-0.1047197551196597,13.013859071731568
16.919999999999845,0.01,1.0633543220169,-0.23898769802146402,0.03535479843754762,0.18070971161670815,4.193406924553565,-10.252944333100777,-0.7552726424186407,0.022785751972312984,6.2841224613502416,4.311615572001893,-11.83329421070869,0.7110193155706788,0.029763204795249965,0.20535917708132057,4.218086290052989,-10.174005472968071,-0.7434333335959767,-0.11053751929297406,12.952132234573364
16.929999999999847,0.01,1.0396276824794064,-0.23501855855955184,0.03288587248493364,0.18676247733025644,4.207268352014222,-10.202988211551416,-0.7491708767676678,0.020395874992098342,6.286586411229128,4.3222491152220615,-11.79025879097299,0.7083819812640381,0.029763204795249965,0.20535917708132057,4.218086290052989,-10.174005472968071,-0.7434333335959767,-0.11635528346628864,12.946348514556885
16.93999999999985,0.01,1.0316281149426907,-0.23123688450038313,0.030516614529002593,0.1914600795254145,4.217714786780711,-10.164059941142165,-0.7443397249390177,0.018045689406502825,6.288828479921902,4.332645392046856,-11.747105844419801,0.7059310742520625,0.029763204795249965,0.20535917708132057,4.218086290052989,-10.174005472968071,-0.7434333335959767,-0.12217304763960302,12.990135412216189
