time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
5.81999999999992,0.01,-0.14901964598463308,-0.03371930158603485,0.004040096569570938,1.5878616336245657,2.812150760314568,1.5878616336245657,12.42052314771939,0.0,1.6810828175029136,2.7611989663489234,9.943060333854527,3.664927197638817,-0.011635528346628732,5.496808319091797
5.82999999999992,0.01,-0.14818412684303775,-0.03212597926666312,0.0037029035537105895,1.5875489340504259,2.810660563854722,1.5875489340504259,12.4486429167236,0.0,1.6810828175029136,2.7611989663489234,9.943060333854527,3.664927197638817,-0.011635528346628732,5.447795095443726
5.83999999999992,0.01,-0.16101371158858999,-0.030608610695291555,0.0033816437610439585,1.5872367124681044,2.8091787225862914,1.5872367124681044,12.476747788155512,0.0,1.6822559040883658,2.7591942820647977,9.937335593934788,3.7199129990984865,-0.011635528346628732,5.408418579101562
5.84999999999992,0.01,-0.17115003140333726,-0.029162941628291715,0.003075557654091043,1.5869251806972513,2.8075685854704053,1.5869251806972513,12.50483784791869,0.0,1.6822559040883658,2.7591942820647977,9.937335593934788,3.7199129990984865,-0.011635528346628732,5.391260442733764
5.8599999999999195,0.01,-0.17498822731678923,-0.027785554147003594,0.002783928237808126,1.5866145834343186,2.8058570851563718,1.5866145834343186,12.532911815674465,0.0,1.68323938397627,2.757099838543376,9.931521583680263,3.774815342493126,-0.011635528346628732,5.357743730545044
5.869999999999919,0.01,-0.18334600654121072,-0.026473221773730467,0.00250607269633809,1.5863051730626514,2.8041072028832037,1.5863051730626514,12.560968680493152,0.0,1.68323938397627,2.757099838543376,9.931521583680263,3.774815342493126,-0.005817764173314366,5.33863073348999
5.879999999999919,0.01,-0.18764771635272517,-0.018250099485318357,0.0022413404786007854,1.5859971978069987,2.8022737428177917,1.5859971978069987,12.589008061223975,0.0,1.68323938397627,2.757099838543376,9.931521583680263,3.774815342493126,-0.005817764173314366,5.33863073348999
5.889999999999919,0.01,-0.18654764031347798,-0.017058804505500486,0.0020588394837476017,1.5856909087393327,2.8003972656542646,1.5856909087393327,12.61702912472941,0.0,1.68323938397627,2.757099838543376,9.931521583680263,3.774815342493126,-0.005817764173314366,5.288454761505127
5.899999999999919,0.01,-0.19947102617112308,-0.01623755002866116,0.0018882514386925969,1.585386546635166,2.79853178925113,1.585386546635166,12.645031443352302,0.0,1.6846866584136315,2.751546124688858,9.91971014043735,3.8840547163381536,-0.005817764173314366,5.251054763793945
5.909999999999918,0.01,-0.20882373968837314,-0.015469903825913636,0.0017258759384059853,1.585084248688593,2.796537078989419,1.585084248688593,12.673015128483042,0.0,1.6846866584136315,2.751546124688858,9.91971014043735,3.8840547163381536,-0.005817764173314366,5.236169271469116
5.919999999999918,0.01,-0.21179485138229887,-0.014739214074623884,0.0015711769001468489,1.5847841957668352,2.7944488415925353,1.5847841957668352,12.70097888952587,0.0,1.6846866584136315,2.751546124688858,9.91971014043735,3.8840547163381536,-0.005817764173314366,5.197540674209595
5.929999999999918,0.01,-0.22135791617683465,-0.01404306840245777,0.00142378475940061,1.5844865866481916,2.792330893078712,1.5844865866481916,12.728921793126611,0.0,1.6846866584136315,2.751546124688858,9.91971014043735,3.8840547163381536,0.0,5.174526968002319
5.939999999999918,0.01,-0.22653098480657777,-0.006407031417302745,0.0012833540753760325,1.584191623749254,2.7901173139169435,1.584191623749254,12.756843544119922,0.0,1.6846866584136315,2.751546124688858,9.91971014043735,3.8840547163381536,0.0,5.174526968002319
5.949999999999918,0.01,-0.22520283730951662,-0.005775093339192146,0.001219283761203005,1.5838995189484537,2.7878520040688777,1.5838995189484537,12.784743188155774,0.0,1.6855847801914623,2.744649032517835,9.90763924125272,3.9933185331607377,0.0,5.117965326309204
5.959999999999917,0.01,-0.2396809110747492,-0.005486776925413522,0.0011615328278110834,1.583610475892047,2.7855999756957823,1.583610475892047,12.81262020976445,0.0,1.6855847801914623,2.744649032517835,9.90763924125272,3.9933185331607377,0.0,5.093447618484497
5.969999999999917,0.01,-0.24519465224181028,-0.005226897725149875,0.001106665058556948,1.5833245944133156,2.783203166585035,1.5833245944133156,12.840474742505815,0.0,1.6855847801914623,2.744649032517835,9.90763924125272,3.9933185331607377,0.0,5.06808759689331
5.979999999999917,0.01,-0.2508573728208942,-0.004979992763506266,0.0010543960813054493,1.5830420181643057,2.780751220062617,1.5830420181643057,12.868305339648392,0.0,1.6855847801914623,2.744649032517835,9.90763924125272,3.9933185331607377,0.005817764173314366,5.045522060394287
