time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{rabbitmq}.r.angle,{rabbitmq}.r.distance
14.179999999999742,0.01,0.03553553142026065,-0.29343352140173284,0.09171841471548275,3.1669702342447827,-14.839408416297994,7.12099657687397,0.10471975511965992,6.897902097702026
14.189999999999742,0.01,0.03123044680969773,-0.2872229638873257,0.08878407950146543,3.167325589558985,-14.844768792887422,7.089783816514163,0.09308422677303096,6.890961208343506
14.199999999999742,0.01,0.02907378460079055,-0.28796400012784185,0.08591184986259216,3.167637894027082,-14.849824833855154,7.058516715772966,0.0872664625997166,6.850395660400391
14.209999999999742,0.01,0.017528048495860114,-0.2820117391047091,0.08303220986131374,3.16792863187309,-14.85458293079102,7.027199731621925,0.07563093425308764,6.827962789535523
14.219999999999741,0.01,0.011072401946092202,-0.28299890380255044,0.08021209247026664,3.1681039123580486,-14.859049536841795,6.995836909490438,0.06981317007977328,6.80778736114502
14.229999999999741,0.01,0.005318113705776462,-0.2772811478946354,0.07738210343224114,3.1682146363775097,-14.863231102076206,6.964433044248398,0.058177641733144325,6.799202451705932
14.23999999999974,0.01,0.0028479046511551863,-0.27849174192711484,0.07460929195329478,3.1682678175145673,-14.867134167583238,6.932992235132482,0.05235987755982996,6.786515226364136
14.24999999999974,0.01,-7.364271267822353E-4,-0.2729868626236532,0.07182437453402364,3.168296296561079,-14.870765386896334,6.9015183357450525,0.04654211338651559,6.758283119201661
14.25999999999974,0.01,-0.0086585045601824,-0.26742750658873,0.06909450590778711,3.168288932289811,-14.87413145409771,6.870014689386637,0.03490658503988664,6.718077573776245
14.26999999999974,0.01,-0.01991163871653807,-0.2690886424742598,0.06642023084189981,3.1682023472442093,-14.877239140134915,6.838484580548557,0.029088820866572274,6.687406940460205
14.27999999999974,0.01,-0.02844746501766808,-0.26402717702956385,0.06372934441715722,3.168003230857044,-14.880095174860314,6.806931550948284,0.029088820866572274,6.696422071456909
14.28999999999974,0.01,-0.025803758506291883,-0.2519181881182222,0.06108907264686158,3.167718756206867,-14.882706259835363,6.775359305505092,0.01745329251994332,6.643754396438599
14.29999999999974,0.01,-0.04038002272131251,-0.253982509855486,0.05856989076567936,3.1674607186218044,-14.885079200300854,6.743771121553024,0.01745329251994332,6.638902616500855
14.30999999999974,0.01,-0.04158369855284327,-0.242646191390166,0.0560300656671245,3.167056918394591,-14.887220852028404,6.712169000290693,0.011635528346628954,6.602480573654175
14.31999999999974,0.01,-0.05153959041358567,-0.23818975079846608,0.05360360375322284,3.166641081409063,-14.889137859775051,6.680556502228464,0.005817764173314366,6.572980861663819
14.329999999999739,0.01,-0.05955000757956847,-0.23424344453770582,0.051221706245238176,3.166125685504927,-14.890837010785658,6.648935710655673,0.0,6.544758243560791
14.339999999999739,0.01,-0.06714310310593481,-0.2304976781035718,0.04887927179986112,3.1655301854291316,-14.892324939845698,6.617309435934269,-0.005817764173314366,6.518341436386108
14.349999999999739,0.01,-0.07418250906936875,-0.22692949545117197,0.0465742950188254,3.164858754398072,-14.893608268371196,6.585680158304485,-0.011635528346628732,6.488661785125732
14.359999999999738,0.01,-0.08208995280363833,-0.22352987228830823,0.044305000064313683,3.1641169293073785,-14.894693594451649,6.554050185796939,-0.011635528346628732,6.461065378189087
14.369999999999738,0.01,-0.08937185169148289,-0.2133180449930055,0.0420697013414306,3.163296029779342,-14.895587486848616,6.522421645669143,-0.01745329251994332,6.425975742340088
14.379999999999738,0.01,-0.09870441001238052,-0.2102319730918288,0.03993652089150054,3.162402311262427,-14.896296476987068,6.490796631674121,-0.02327105669325769,6.392116813659668
14.389999999999738,0.01,-0.10764867893274914,-0.2076054334189405,0.037834201160582254,3.1614152671623033,-14.89682705724426,6.459177059848771,-0.02327105669325769,6.372705554962158
